id,sales
0,35.0
1,43.0
2,56.0
3,42.0
4,26.0
5,34.0
6,29.0
7,51.0
8,47.0
9,49.0
10,35.0
11,43.0
12,56.0
13,42.0
14,26.0
15,34.0
16,29.0
17,51.0
18,47.0
19,49.0
20,35.0
21,43.0
22,56.0
23,42.0
24,26.0
25,34.0
26,29.0
27,51.0
28,47.0
29,49.0
30,35.0
31,43.0
32,56.0
33,42.0
34,26.0
35,34.0
36,29.0
37,51.0
38,47.0
39,49.0
40,35.0
41,43.0
42,56.0
43,42.0
44,26.0
45,34.0
46,29.0
47,51.0
48,47.0
49,49.0
50,35.0
51,43.0
52,56.0
53,42.0
54,26.0
55,34.0
56,29.0
57,51.0
58,47.0
59,49.0
60,35.0
61,43.0
62,56.0
63,42.0
64,26.0
65,34.0
66,29.0
67,51.0
68,47.0
69,49.0
70,35.0
71,43.0
72,56.0
73,42.0
74,26.0
75,34.0
76,29.0
77,51.0
78,47.0
79,49.0
80,35.0
81,43.0
82,56.0
83,42.0
84,26.0
85,34.0
86,29.0
87,51.0
88,47.0
89,49.0
90,35.0
91,43.0
92,56.0
93,42.0
94,26.0
95,34.0
96,29.0
97,51.0
98,47.0
99,49.0
100,35.0
101,43.0
102,56.0
103,42.0
104,26.0
105,34.0
106,29.0
107,51.0
108,47.0
109,49.0
110,35.0
111,43.0
112,56.0
113,42.0
114,26.0
115,34.0
116,29.0
117,51.0
118,47.0
119,49.0
120,35.0
121,43.0
122,56.0
123,42.0
124,26.0
125,34.0
126,29.0
127,51.0
128,47.0
129,49.0
130,35.0
131,43.0
132,56.0
133,42.0
134,26.0
135,34.0
136,29.0
137,51.0
138,47.0
139,49.0
140,35.0
141,43.0
142,56.0
143,42.0
144,26.0
145,34.0
146,29.0
147,51.0
148,47.0
149,49.0
150,35.0
151,43.0
152,56.0
153,42.0
154,26.0
155,34.0
156,29.0
157,51.0
158,47.0
159,49.0
160,35.0
161,43.0
162,56.0
163,42.0
164,26.0
165,34.0
166,29.0
167,51.0
