id,sales
0,37.5
1,49.4
2,51.2
3,42.2
4,27.7
5,29.7
6,30.2
7,53.6
8,43.0
9,45.8
10,37.8
11,56.5
12,50.4
13,43.2
14,33.8
15,33.8
16,29.3
17,65.6
18,44.4
19,50.7
20,46.0
21,62.2
22,54.9
23,49.8
24,40.6
25,40.6
26,30.0
27,58.7
28,46.1
29,53.9
30,44.4
31,67.6
32,57.2
33,48.7
34,37.7
35,36.6
36,33.7
37,67.9
38,51.5
39,52.5
40,36.6
41,69.5
42,59.5
43,56.3
44,42.0
45,38.2
46,31.9
47,68.4
48,55.3
49,59.1
50,31.6
51,42.3
52,40.3
53,33.6
54,29.1
55,28.7
56,28.6
57,44.3
58,38.3
59,47.8
60,32.9
61,47.5
62,49.8
63,43.7
64,24.7
65,30.4
66,31.9
67,54.1
68,45.9
69,46.2
70,37.2
71,50.6
72,50.8
73,43.4
74,27.85
75,29.35
76,31.1
77,58.8
78,43.8
79,46.5
80,37.3
81,56.8
82,50.3
83,42.4
84,35.4
85,35.4
86,30.6
87,57.4
88,48.2
89,51.8
90,51.8
91,65.3
92,52.4
93,46.3
94,35.6
95,35.6
96,27.7
97,65.7
98,49.0
99,49.9
100,47.7
101,62.1
102,59.4
103,49.0
104,33.5
105,33.8
106,35.5
107,68.9
108,52.5
109,49.8
110,44.5
111,66.9
112,57.8
113,53.7
114,38.3
115,36.2
116,33.6
117,69.8
118,54.5
119,60.1
120,30.7
121,44.4
122,37.5
123,34.2
124,28.8
125,28.4
126,27.2
127,44.3
128,37.4
129,49.1
130,33.4
131,52.0
132,47.9
133,42.9
134,26.1
135,31.8
136,30.2
137,49.0
138,44.9
139,45.8
140,36.3
141,52.2
142,44.9
143,43.0
144,28.3
145,29.8
146,30.4
147,52.9
148,43.8
149,44.8
150,38.0
151,55.2
152,47.7
153,50.6
154,37.6
155,37.6
156,31.8
157,57.7
158,47.9
159,50.3
160,50.3
161,60.7
162,52.1
163,53.1
164,38.6
165,38.6
166,28.2
167,63.5
168,48.3
169,53.1
170,48.1
171,63.5
172,54.2
173,45.9
174,36.0
175,36.0
176,37.9
177,70.9
178,47.7
179,48.7
180,44.2
181,72.3
182,60.9
183,52.3
184,40.6
185,38.5
186,35.8
187,68.2
188,53.9
189,59.0
190,31.7
191,38.8
192,37.8
193,35.4
194,25.4
195,25.2
196,25.0
197,37.2
198,37.1
199,47.8
200,34.9
201,47.6
202,41.4
203,39.9
204,27.5
205,30.7
206,30.3
207,48.3
208,41.2
209,44.0
210,35.7
211,47.2
212,42.9
213,39.8
214,30.6
215,31.3
216,29.7
217,48.2
218,40.6
219,45.0
220,44.5
221,49.7
222,48.8
223,50.7
224,35.7
225,35.7
226,32.4
227,45.5
228,47.7
229,50.7
230,47.7
231,58.7
232,54.8
233,43.8
234,36.9
235,36.9
236,32.7
237,56.5
238,44.4
239,55.3
240,48.5
241,65.2
242,63.0
243,50.2
244,37.8
245,37.8
246,32.6
247,69.6
248,48.9
249,54.5
250,42.9
251,71.9
252,59.9
253,52.7
254,39.7
255,37.6
256,33.3
257,68.2
258,54.3
259,58.4
260,22.6
261,26.5
262,25.1
263,24.2
264,11.2
265,13.5
266,16.6
267,26.3
268,26.1
269,24.7
270,23.5
271,29.2
272,29.0
273,23.9
274,15.7
275,17.3
276,19.3
277,27.7
278,23.5
279,29.0
280,25.5
281,34.8
282,28.9
283,25.6
284,21.8
285,21.8
286,16.5
287,28.8
288,26.9
289,28.9
290,26.5
291,37.0
292,32.5
293,27.6
294,21.2
295,26.5
296,19.5
297,33.3
298,28.0
299,32.5
300,25.6
301,41.1
302,39.1
303,27.7
304,22.7
305,30.8
306,16.4
307,34.9
308,29.9
309,37.0
310,16.0
311,26.1
312,20.1
313,18.7
314,14.4
315,16.9
316,14.9
317,27.1
318,20.1
319,20.3
320,22.9
321,27.3
322,25.3
323,21.1
324,11.0
325,13.9
326,15.7
327,29.1
328,25.1
329,24.3
330,21.3
331,27.4
332,27.5
333,25.3
334,11.4
335,13.7
336,16.2
337,29.5
338,28.2
339,27.1
340,23.4
341,34.0
342,22.5
343,26.3
344,15.1
345,16.7
346,18.8
347,30.5
348,24.9
349,22.5
350,27.9
351,35.2
352,29.9
353,26.5
354,22.0
355,22.0
356,14.9
357,25.4
358,26.7
359,29.9
360,25.9
361,35.2
362,30.1
363,30.7
364,20.5
365,26.1
366,17.8
367,34.0
368,30.6
369,30.1
370,26.7
371,40.6
372,38.8
373,28.6
374,20.7
375,30.0
376,18.2
377,35.2
378,28.7
379,36.8
380,15.5
381,24.6
382,21.2
383,19.4
384,14.4
385,16.9
386,14.2
387,25.5
388,19.1
389,21.2
390,20.8
391,28.6
392,22.0
393,20.8
394,11.0
395,13.9
396,17.0
397,29.6
398,22.6
399,21.4
400,19.0
401,28.2
402,25.7
403,23.5
404,11.0
405,13.3
406,17.4
407,30.6
408,24.1
409,25.5
410,21.7
411,33.6
412,23.6
413,26.0
414,15.6
415,17.2
416,19.3
417,31.7
418,26.8
419,23.6
420,25.5
421,32.4
422,29.2
423,32.9
424,20.6
425,20.6
426,14.8
427,29.0
428,29.2
429,29.2
430,23.7
431,38.4
432,30.3
433,29.1
434,21.4
435,24.9
436,15.8
437,36.6
438,28.4
439,30.3
440,28.7
441,43.3
442,35.9
443,26.5
444,24.7
445,29.6
446,21.4
447,37.3
448,28.1
449,34.4
450,16.7
451,21.2
452,22.7
453,18.2
454,15.3
455,17.8
456,14.0
457,24.0
458,18.3
459,22.7
460,20.2
461,27.5
462,24.2
463,23.9
464,13.9
465,16.1
466,18.7
467,27.5
468,22.175
469,24.2
470,23.9
471,27.3
472,26.1
473,27.3
474,14.5
475,16.1
476,18.7
477,29.6
478,26.2
479,26.1
480,22.1
481,34.8
482,25.7
483,23.7
484,19.5
485,20.4
486,12.8
487,31.8
488,25.0
489,25.7
490,24.3
491,30.8
492,26.0
493,26.5
494,23.4
495,23.4
496,16.7
497,30.0
498,26.4
499,26.0
500,25.3
501,37.1
502,33.2
503,25.7
504,21.4
505,24.9
506,17.8
507,31.0
508,25.5
